lag_days,arch,train_mean,train_std,test_mean,test_std,test_best,test_worst,folds_used,time_sec
+10d,16-8,4.681076,0.266290,5.127210,1.013103,4.041327,6.821060,9,21.47
+10d,16,4.682606,0.300983,5.144030,0.905217,4.022070,6.682527,9,15.11
+5d,8,4.674316,0.308089,5.177673,1.096631,4.064136,7.384985,9,8.47
+5d,32-16,4.691466,0.275614,5.183655,1.073056,3.868015,7.069944,9,79.94
+5d,16-8,4.701584,0.289447,5.203642,1.137605,4.010665,7.160072,9,21.80
+10d,8,4.670356,0.251671,5.209829,0.963532,4.287342,6.821873,9,8.05
+5d,16,4.652069,0.322867,5.220868,1.191623,3.792390,7.405928,9,15.74
+10d,32,4.636140,0.268654,5.228609,0.981716,4.335453,6.912463,9,31.17
+10d,32-16,4.747738,0.223552,5.231171,0.985173,4.166444,6.907368,9,62.56
+5d,32,4.653210,0.352047,5.359421,1.201116,3.930669,7.355444,9,33.18
